url,location,floor,floors_count,rooms_count,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground
https://www.cian.ru/sale/flat/307496200/,Москва,1,10,1,14500000,0,,,20 м²,6 м²,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект
https://www.cian.ru/sale/flat/296921064/,Москва,2,16,1,23274675,2024,Монолитно-кирпичный,Без отделки,"16,4 м²","14,6 м²",Филевский парк,Береговой проезд,2,Фили
https://www.cian.ru/sale/flat/308812807/,Москва,10,22,1,12600000,2005,,,19 м²,10 м²,Солнцево,Производственная ,2к1,Солнцево
https://www.cian.ru/sale/flat/305679592/,Москва,7,20,1,20252300,2024,,,"10,6 м²","18,7 м²",Даниловский,Автозаводская ,26,Тульская
https://www.cian.ru/sale/flat/306611541/,Москва,2,59,1,0,2028,Монолитно-кирпичный,Предчистовая,"9,7 м²",,Можайский,,,Давыдково
https://www.cian.ru/sale/flat/308833375/,Москва,15,28,1,30500000,2022,,,16 м²,18 м²,Раменки,Винницкая ,8к3,Раменки
https://www.cian.ru/sale/flat/307494611/,Москва,2,44,1,25000000,2018,,,30 м²,3 м²,Пресненский,Ходынская ,2,Улица 1905 года
https://www.cian.ru/sale/flat/305005720/,Москва,20,49,1,18197760,2027,Монолитно-кирпичный,"Без отделки, предчистовая","12,2 м²",,Марьина роща,,,Марьина Роща
https://www.cian.ru/sale/flat/287678758/,Москва,4,26,1,34000000,2021,,,,,Очаково-Матвеевское,Нежинская ,5к2,Давыдково
https://www.cian.ru/sale/flat/293926786/,Москва,3,17,1,14990000,2022,,,24 м²,9 м²,, Эдварда Грига,15,Потапово
https://www.cian.ru/sale/flat/302838421/,Москва,7,13,1,27171760,2024,Монолитный,"Без отделки, чистовая",,,Южнопортовый,,к2,Дубровка
https://www.cian.ru/sale/flat/308605254/,Москва,13,41,1,23900000,0,,,21 м²,17 м²,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха
https://www.cian.ru/sale/flat/307280914/,Москва,2,12,1,15000000,1985,,,"20,7 м²","8,3 м²",Раменки, Улофа Пальме,3,Минская
https://www.cian.ru/sale/flat/293713671/,Москва,2,14,1,139410000,2024,Монолитный,Без отделки,"14,2 м²",31 м²,Якиманка,,,Полянка
https://www.cian.ru/sale/flat/297952059/,Москва,18,22,1,19200000,2022,,,22 м²,12 м²,Щукино,Большой Волоколамский проезд,23,Стрешнево
https://www.cian.ru/sale/flat/297558153/,Москва,18,22,1,19500000,2022,,,24 м²,14 м²,Щукино,Большой Волоколамский проезд,23,Стрешнево
https://www.cian.ru/sale/flat/304753663/,Москва,2,44,1,14381127,2027,Монолитный,"Без отделки, предчистовая","9,4 м²",,Кунцево,48-й кв-л,,Кунцевская
https://www.cian.ru/sale/flat/300522888/,Москва,4,5,1,3450000,1930,,,10 м²,4 м²,Перово, 2-я Энтузиастов,5,Авиамоторная
https://www.cian.ru/sale/flat/304286459/,Москва,2,6,1,95634000,2026,,Без отделки,,,Якиманка,Софийская набережная,34С3,Новокузнецкая
https://www.cian.ru/sale/flat/307987228/,Москва,1,9,1,7700000,1966,,,19 м²,6 м²,Гольяново,Щелковское шоссе,19,Черкизовская
https://www.cian.ru/sale/flat/308081007/,Москва,4,6,1,57228000,2024,Монолитно-кирпичный,Без отделки,"12,3 м²","23,9 м²",Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая
https://www.cian.ru/sale/flat/307891819/,Москва,3,5,1,8390000,2021,,,,8 м²,, Жемчужная,1к2,Филатов Луг
https://www.cian.ru/sale/flat/308802713/,Москва,2,46,1,16375836,2027,,Предчистовая,"14,1 м²",,Даниловский,,,Павелецкая
https://www.cian.ru/sale/flat/308238615/,Москва,11,12,1,9350000,1966,,,"19,9 м²","9,7 м²",Северное Измайлово,Щелковское шоссе,32,Щёлковская
https://www.cian.ru/sale/flat/308640077/,Москва,3,11,1,52675646,2025,Монолитно-кирпичный,Без отделки,,,Даниловский,,,Павелецкая
https://www.cian.ru/sale/flat/307664639/,Москва,2,9,1,11990000,1962,,,"21,5 м²","5,2 м²",Кунцево,Ельнинская ,22К1,Молодёжная
https://www.cian.ru/sale/flat/307942491/,Москва,7,35,1,18847239,2027,Монолитный,Без отделки,"24,1 м²","6,3 м²",Котловка,31/2,31/2,Профсоюзная
https://www.cian.ru/sale/flat/308805101/,Москва,4,6,1,23000000,1902,,,,,Басманный, Покровка,38С1,Курская
https://www.cian.ru/sale/flat/298020354/,Москва,15,67,1,47500000,2025,Монолитный,"Без отделки, предчистовая, чистовая","34,5 м²",8 м²,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити
https://www.cian.ru/sale/flat/309045792/,Москва,15,17,1,9000000,2015,,,19 м²,"7,2 м²",, Бианки,4к1,Рассказовка
https://www.cian.ru/sale/flat/308088559/,Москва,3,7,1,196125000,2026,Монолитно-кирпичный,"Предчистовая, чистовая","19,1 м²","29,7 м²",Арбат,Крестовоздвиженский переулок,4,Арбатская
https://www.cian.ru/sale/flat/307340005/,Москва,16,17,1,6100000,2022,,,"12,3 м²",7 м²,, Яворки,1к6,Ватутинки
https://www.cian.ru/sale/flat/304065733/,Москва,9,18,1,60432000,2026,Монолитный,"Без отделки, предчистовая","11,3 м²",,Хамовники,,,Воробьёвы горы
https://www.cian.ru/sale/flat/308859379/,Москва,22,32,1,17780000,2023,,,,10 м²,Нижегородский,Газгольдерная ,10,Нижегородская
https://www.cian.ru/sale/flat/308543607/,Москва,5,12,1,14500000,1964,,,17 м²,4 м²,Беговой,Ленинградский проспект,33А,Динамо
https://www.cian.ru/sale/flat/305778449/,Москва,3,26,1,22602971,2027,Монолитный,"Без отделки, предчистовая, чистовая",,,Даниловский,,,Павелецкая
https://www.cian.ru/sale/flat/308711044/,Москва,8,22,1,13290000,2000,,,,10 м²,Марьино, Верхние Поля,36К2,Люблино
